owner_id,considered,mean_top5,show,num,sample,error_type,error
2371863a-5dad-d260-a926-e3d90547288f,10,0.5741,1,4,"[{'user_id': '674c389a-fd59-7e69-ae5d-03c1428c42ce', 'score': 0.7108}, {'user_id': '62112fd5-4a53-75b8-75fa-a07441707a7d', 'score': 0.5799}, {'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.5428}]",,
295861f9-fe39-648b-46ee-c4c6d849b5c1,10,0.6033,1,6,"[{'user_id': '61d5af8b-07ac-4497-ad82-57fccbab7243', 'score': 0.6786}, {'user_id': '2910eefb-a16d-e347-54d2-695b69943409', 'score': 0.5948}, {'user_id': '34095128-d0f6-3bd7-9b37-830f9d654cf0', 'score': 0.5885}]",,
2a0feb66-6b9d-2c46-86cb-4770f2812031,10,0.6153,1,5,"[{'user_id': '3b3ae42f-ef56-0fab-b62b-f94dde56eaeb', 'score': 0.7277}, {'user_id': '0b383bc5-db90-55ae-721f-92b3e2f6ab7b', 'score': 0.5972}, {'user_id': 'b3f4185d-a343-0faa-cf50-f863a35eef8c', 'score': 0.5879}]",,
2de99f37-2a50-454a-c425-0c8052460666,4,0.3467,0,0,"[{'user_id': '2471537c-e84e-ff70-c3e6-7f66bda6f02d', 'score': 0.4543}, {'user_id': '36d933bd-1c82-afa6-be65-637046f8182e', 'score': 0.3185}, {'user_id': '08862d95-b003-d90a-8678-0408c178f4b0', 'score': 0.3111}]",,
3685b96a-66e9-4987-1bf8-8c71518e0fb1,2,0.4519,0,0,"[{'user_id': 'a388e466-1127-72ea-bf38-1b73653b6c87', 'score': 0.5263}, {'user_id': 'ff749ba9-a58c-eda0-1f38-5980f5c75f52', 'score': 0.3774}]",,
3d016054-5274-a86c-85a8-4e73d502f69b,10,0.6007,1,6,"[{'user_id': 'ed254662-8ae6-c9fc-1dd2-e84e6a65029f', 'score': 0.7168}, {'user_id': '3b3ae42f-ef56-0fab-b62b-f94dde56eaeb', 'score': 0.5829}, {'user_id': '0b383bc5-db90-55ae-721f-92b3e2f6ab7b', 'score': 0.5779}]",,
3f5b8b0f-786b-a3e7-1a0f-6d797447a4b9,7,0.5216,1,1,"[{'user_id': 'e794516d-48ca-89c1-ff34-4f487a997ba2', 'score': 0.767}, {'user_id': 'b5c4bea1-69ce-ef46-e2cb-aaec280baedc', 'score': 0.7161}, {'user_id': 'e443c599-afb5-e17c-aa99-712aaec200cd', 'score': 0.4323}]",,
42880839-4422-c8c5-974c-90052b93d7e1,10,0.7223,1,5,"[{'user_id': 'fc29b0ac-89b9-a4d6-13ae-5c4b0b919ced', 'score': 0.7488}, {'user_id': '96905bf7-e203-3f80-bac2-b73a5c237768', 'score': 0.725}, {'user_id': 'ab7179fd-c38f-05fa-ba67-7dff2b8ee2a3', 'score': 0.7187}]",,
43039020-02ef-7bb8-8003-3c0bdb6e77b0,6,0.4629,0,0,"[{'user_id': '3865a85e-7c03-60bf-210c-054a77320084', 'score': 0.5455}, {'user_id': '0422535c-58ad-ac69-c236-1dec59b11dd1', 'score': 0.5336}, {'user_id': '5e83a5f9-f314-4a1a-e796-bda62ab7c9ef', 'score': 0.4508}]",,
45836154-4ccb-7f55-324d-961637bd973b,10,0.5885,1,5,"[{'user_id': 'ec4d5735-77bc-2f8a-fc98-be61d166807a', 'score': 0.6225}, {'user_id': '54b8125a-28e8-b262-5b05-264217e81ef1', 'score': 0.5983}, {'user_id': '286e68b6-327c-f007-d64f-7f4c0eb45e69', 'score': 0.5813}]",,
4b2a7149-3da7-1406-0db5-3c5f5662a512,10,0.7121,1,5,"[{'user_id': '23ccaed8-18b6-c297-bcd5-b8227964167c', 'score': 0.7747}, {'user_id': 'af9b803c-c828-90d1-ec01-6e506e60e6eb', 'score': 0.7326}, {'user_id': 'b0874a50-083e-60ef-1b2b-7e63ae229d76', 'score': 0.6977}]",,
4d090512-d8f5-2718-7147-2ff58d0a0039,4,0.4312,0,0,"[{'user_id': '6be18766-2272-3464-b8ce-12bad78e2a6f', 'score': 0.7133}, {'user_id': 'e0a50286-9c91-5656-bcd0-21f1a6c83ff5', 'score': 0.4192}, {'user_id': 'd1812114-1518-0cb8-c03b-bad7bae5ccbc', 'score': 0.3591}]",,
6218d598-c81b-27b9-2578-eae7362cfa22,5,0.4615,1,3,"[{'user_id': 'e443c599-afb5-e17c-aa99-712aaec200cd', 'score': 0.5587}, {'user_id': 'b5c4bea1-69ce-ef46-e2cb-aaec280baedc', 'score': 0.4566}, {'user_id': '287d155c-66bb-e4f9-5e90-3cca55623a6d', 'score': 0.4561}]",,
645810e7-63e4-e393-5ffc-7bb817ee1ce4,10,0.6675,1,2,"[{'user_id': '4dbe89b1-e0b5-b57b-6ff1-84dcd353db4a', 'score': 0.7513}, {'user_id': 'bce1e291-8a95-40fd-5bc9-d4b62e8a2726', 'score': 0.6686}, {'user_id': 'e794516d-48ca-89c1-ff34-4f487a997ba2', 'score': 0.6532}]",,
663e423f-af64-2649-f299-245b4f0a992e,10,0.5209,1,2,"[{'user_id': '143da109-f3e4-35c6-7367-3d554c8104d9', 'score': 0.6243}, {'user_id': '0c19d3fb-4caa-92a1-7af8-aed52b33a9e5', 'score': 0.5508}, {'user_id': 'ec4d5735-77bc-2f8a-fc98-be61d166807a', 'score': 0.4919}]",,
68480a40-7e6b-79d1-fe1a-0e2c5ca8c995,3,0.705,1,2,"[{'user_id': '3e0dd798-c605-c53f-1eb8-1286804142a1', 'score': 0.7445}, {'user_id': 'ad76ffd3-8bcf-0cd0-2c0c-3d468a43bcc5', 'score': 0.7094}, {'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.661}]",,
6cc0fe86-20e3-ddcf-dd72-73b9fee72fd6,10,0.641,1,7,"[{'user_id': '5b6a0940-970f-3a34-06d0-5ad0422eb07d', 'score': 0.6684}, {'user_id': 'd325c1f9-a799-62b2-1f9c-2716784131bd', 'score': 0.653}, {'user_id': '34095128-d0f6-3bd7-9b37-830f9d654cf0', 'score': 0.6521}]",,
72e23738-2283-80fd-0268-788dafa96345,10,0.6694,0,0,"[{'user_id': '1d0bb22d-829b-2939-29e6-839e32000275', 'score': 0.6988}, {'user_id': 'f7c4fc78-01d7-adcb-cca4-2760d798c867', 'score': 0.6683}, {'user_id': '0eb6a0b4-fa48-4a5a-76e8-7e12bf2b88aa', 'score': 0.6637}]",,
77646b13-ef31-316d-fd55-56cf9ae0bf49,10,0.6751,1,3,"[{'user_id': 'aef5c2ad-5b42-7c47-ef6f-482bd06e43e0', 'score': 0.7281}, {'user_id': 'd9a90344-d0f0-8ddd-17cd-8be063bc91ac', 'score': 0.6894}, {'user_id': 'a8e98345-6030-76f0-8ba3-dcfd04f9b973', 'score': 0.6759}]",,
781caeb1-ebe7-0727-55bb-df070963fed0,10,0.5286,1,10,"[{'user_id': '63b2a49d-6dc7-b137-4c21-ce1a2c98e9ad', 'score': 0.5673}, {'user_id': '6c1a808a-e403-fb75-3fe0-d7440d76307a', 'score': 0.5216}, {'user_id': '43fb0bf9-5015-f1f3-1ed2-69020bc15a2e', 'score': 0.5205}]",,
79e7b7b8-3a06-9669-33b7-bf5477ffdf40,10,0.5663,1,3,"[{'user_id': '010eae17-c2f8-ed3b-c23a-493572bffa79', 'score': 0.6585}, {'user_id': '7ad7afbe-db63-d30a-11e1-ccaf0d2a06b2', 'score': 0.5566}, {'user_id': '193d5c52-134b-059d-2f19-6f717bf94ce5', 'score': 0.5491}]",,
7f8f6344-a910-58d2-56f5-5d0438a907cb,10,0.6357,1,3,"[{'user_id': '4063c62c-e0a3-61c2-7d2b-125552a60b4c', 'score': 0.7934}, {'user_id': '4a54afcb-277c-8d4a-6ce5-0d1eac7df323', 'score': 0.6539}, {'user_id': '0c420948-c017-cdd3-c377-8d46c90f48e2', 'score': 0.644}]",,
87ec6d61-b343-6c7b-af46-aee017033e51,10,0.6267,1,3,"[{'user_id': '1d176b92-f147-8d6d-15d0-c0f834cfd013', 'score': 0.8053}, {'user_id': 'ff749ba9-a58c-eda0-1f38-5980f5c75f52', 'score': 0.6851}, {'user_id': 'd4f83b87-6379-66f8-0414-555980d170e7', 'score': 0.5554}]",,
8eb3e8a2-209b-9f01-34c5-d31c61beec81,10,0.6747,1,5,"[{'user_id': '96905bf7-e203-3f80-bac2-b73a5c237768', 'score': 0.7149}, {'user_id': '087665f0-83a0-e6f6-c025-92c7d954f722', 'score': 0.6723}, {'user_id': '719c96dd-7039-6c09-d0d7-94bce03bf966', 'score': 0.6717}]",,
9b4eda83-35a8-f251-d650-4d2259995895,10,0.5864,1,5,"[{'user_id': 'ab681ee2-15f4-1aaf-5295-6a29d7d9302d', 'score': 0.6766}, {'user_id': 'f9c199cb-b85a-3eba-ff7a-3eeb5959f45b', 'score': 0.5915}, {'user_id': '5e661be6-fda2-17d7-c98a-9bf0741bd4d6', 'score': 0.5642}]",,
afe486d1-d8f3-d0e3-ac72-89617ba444c0,1,0.5299,0,0,"[{'user_id': 'a20c2999-3490-9daa-3cc1-587ad67f21e8', 'score': 0.5299}]",,
b2b7e589-a294-3afa-6cb5-1544bc66d1a5,10,0.6034,1,5,"[{'user_id': 'c8cc3346-6628-75ce-48b0-45cc2bf8ac71', 'score': 0.735}, {'user_id': '03c25b59-b285-816b-7ec5-e73e164d8c84', 'score': 0.6061}, {'user_id': 'ead21e96-35ba-23c3-23bd-53844554200b', 'score': 0.5947}]",,
b78e916d-1602-9735-3823-612b6aa2d5d4,10,0.6552,1,6,"[{'user_id': '0ce4e0d6-02ce-6598-ab6a-b8082a02108c', 'score': 0.6827}, {'user_id': '087665f0-83a0-e6f6-c025-92c7d954f722', 'score': 0.6683}, {'user_id': '91297fbc-001c-bb0c-1ca3-25d5424caf48', 'score': 0.6512}]",,
bb0a1b1e-591e-21b6-e8a9-195b8cdcea88,2,0.4548,0,0,"[{'user_id': 'e0a50286-9c91-5656-bcd0-21f1a6c83ff5', 'score': 0.5172}, {'user_id': '00235b8e-07f6-72f4-98d8-51a511449524', 'score': 0.3924}]",,
bcfa29d6-42bf-9ebe-4cab-4118efc4e49f,10,0.6099,1,10,"[{'user_id': 'c9c30beb-0d66-44dd-fa83-3d152f3fd57f', 'score': 0.6337}, {'user_id': '6d3e9c1a-059e-5a51-5118-d429590e0c35', 'score': 0.6133}, {'user_id': 'ab7179fd-c38f-05fa-ba67-7dff2b8ee2a3', 'score': 0.61}]",,
c0b7bbd5-d5b2-47ef-4c2d-0104a0d5815f,3,0.4984,1,2,"[{'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.5722}, {'user_id': 'da78b366-a9bc-9bf1-c048-8e384f1b305f', 'score': 0.5655}, {'user_id': '107858e1-d215-3c69-7881-6c32a67f0d61', 'score': 0.3573}]",,
c4c53f5f-f2f0-f409-8125-faf95e2d7762,10,0.626,1,5,"[{'user_id': 'b56baded-1ba3-5dea-00df-0ef05b324652', 'score': 0.6409}, {'user_id': 'd2713644-0d20-920b-35c1-746081d3911b', 'score': 0.6315}, {'user_id': '20e46ffb-9c12-d899-e6ba-6e30234e802b', 'score': 0.6268}]",,
c7dd5eb0-d0bc-d1b0-260f-eee6b8c34655,10,0.5873,1,6,"[{'user_id': 'c6f91bbd-98a5-f03a-f76a-9b24da4489d9', 'score': 0.6103}, {'user_id': '91297fbc-001c-bb0c-1ca3-25d5424caf48', 'score': 0.5857}, {'user_id': '087665f0-83a0-e6f6-c025-92c7d954f722', 'score': 0.5823}]",,
d0c19aa3-7f54-622c-88a8-a7895cae0322,10,0.6144,1,5,"[{'user_id': '4610e882-be07-6b7a-f543-be7dcb0afe00', 'score': 0.6205}, {'user_id': '15fb4a12-d2a5-aa39-6990-a0fce2f66dc4', 'score': 0.6195}, {'user_id': '2c70c693-dc15-a73f-7894-527cb727a1d6', 'score': 0.6142}]",,
d4461abf-28cd-4598-1788-1d720abddcf3,5,0.568,1,2,"[{'user_id': '08947886-b876-4038-f69c-75e13d27ed0a', 'score': 0.7751}, {'user_id': 'dc3d3974-9f1c-3110-e5e8-4a42851827b1', 'score': 0.7033}, {'user_id': 'b5ae490e-2d35-1961-a345-60bc65fbf6b4', 'score': 0.5137}]",,
dd898d40-8a16-19df-b830-232f93b0d7c9,10,0.6509,1,6,"[{'user_id': 'c5cb7837-9a77-1091-c9b0-313512d90cc8', 'score': 0.7985}, {'user_id': '3066647b-75b6-5e7c-6a0e-c1c064b14bcf', 'score': 0.6607}, {'user_id': 'e1242aa3-8a49-a791-a6a2-60184656323b', 'score': 0.6153}]",,
e05878c3-59c2-4fa7-7beb-52c51ee45d42,5,0.5064,1,3,"[{'user_id': 'd0ca2fd4-00f4-faa8-20cd-89756acc13d5', 'score': 0.5693}, {'user_id': 'e0a50286-9c91-5656-bcd0-21f1a6c83ff5', 'score': 0.5467}, {'user_id': '645c820f-40f9-a2df-051a-f7797395688e', 'score': 0.5003}]",,
e080400d-ea6b-04d6-df2f-50e8a3f13c85,7,0.4796,1,4,"[{'user_id': 'f543d50d-7bf8-d57d-2797-c57a70966d85', 'score': 0.5111}, {'user_id': '81a6399e-ac29-0d56-06d3-fd9e39bc5942', 'score': 0.4861}, {'user_id': 'ed5f05da-52fe-244d-969c-63292f5d6d2b', 'score': 0.4792}]",,
e47977d3-e0b9-29d2-3c54-32ba3796c2f4,10,0.5813,1,5,"[{'user_id': 'cd5331d9-df25-c35b-01e9-87c107ed2195', 'score': 0.6502}, {'user_id': 'ca894f31-a47a-1f3e-85ba-2cd3d9d19b45', 'score': 0.5804}, {'user_id': 'ed5fc4bf-ebc8-746f-a85f-c57bb51f1968', 'score': 0.5636}]",,
f981d913-79e9-98e7-908f-130145cd76a4,8,0.4732,1,2,"[{'user_id': 'a2bb6a09-53cc-b5bb-4c84-c14c096508e3', 'score': 0.6569}, {'user_id': '24a56de9-8dbc-27be-d893-e04fdbc0bd16', 'score': 0.4889}, {'user_id': '00fcfe9b-c638-a209-7f53-a39bba1b4453', 'score': 0.4389}]",,
